"contributor","address","agent","amount","date","committee","ward","lat","lon"
"DAG Power Company","0 Commercial Dr","C T CORPORATION SYSTEM UNK",500,2007-08-07,"Evans 2008","Citywide","38.8027671820136","-77.2095769281411"
"DAG Energy","0 Commercial Dr","C T CORPORATION SYSTEM UNK",500,2007-08-07,"Evans 2008","5","38.8027671820136","-77.2095769281411"
"DAG Petroleum Suppliers","0 Commercial Dr","C T CORPORATION SYSTEM UNK",500,2007-08-07,"Evans 2008","8","38.8027671820136","-77.2095769281411"
"Sam Wang Produce","0 Morse St NE","RESIGNED  RESIGNED",500,2007-08-07,"Evans 2008","4","38.9053678242739","-76.9849502537508"
"Sang Oh and Company","0 Morse St NE",,500,2007-08-07,"Evans 2008","7","38.9053678242739","-76.9849502537508"
"3550 Paradise Road Development, LI","1 Alhambra Plz No. 1400",,1000,2010-04-14,"Re-Elect Kwame R. Brown","Citywide","25.7525320991822","-80.2547239040286"
"The Peebles Corporation","1 Alhambra Plz No. 1400","C T CORPORATION SYSTEM UNK",1000,2010-04-14,"Re-Elect Kwame R. Brown","Citywide","25.7525320991822","-80.2547239040286"
"Jackmont Hospitality Inc.","100 Peachtree St No. 2200","CORPORATION SERVICE COMPANY",500,2007-01-30,"Dr. Victor Vandell for Ward 7","Citywide","33.7563132731262","-84.3885628828372"
"Atlanta Resturrant Partners, LLC","100 Peachtree St No. 2200",,500,2007-01-30,"Dr. Victor Vandell for Ward 7","Citywide","33.7563132731262","-84.3885628828372"
"Cohen & Cohen, PC","1000 Connecticut Avenue NW No. 502",,500,2002-04-23,"Re-Elect Jim Graham","Citywide","38.90285335","-77.04000478"
"Cohen & Cohen, PC","1000 Connecticut Avenue NW No. 502",,500,2002-04-23,"Re-Elect Jim Graham","Citywide","38.90285335","-77.04000478"
"Someck Development, LLC","1000 Potomac Street NW No. 150","WARNER H. SESSION, ESQ.",500,2008-08-22,"Barry for Ward 8","5","38.90336869","-77.06510152"
"Someck Development, LLC","1000 Potomac Street NW No. 150","WARNER H. SESSION, ESQ.",500,2008-08-22,"Barry for Ward 8","Citywide","38.90336869","-77.06510152"
"Bear Saint Properties, Inc.","1001 22nd Street NW No. 320","NATIONAL REGISTERED AGENTS INC.",500,2002-11-01,"Committee To Re-Elect Vincent Orange, Orange 2002","Citywide","38.90299741","-77.04854092"
"R.C.L. Corporation","1001 22nd Street NW No. 320",,500,2002-11-01,"Committee To Re-Elect Vincent Orange, Orange 2002","Citywide","38.90299741","-77.04854092"
"Quadrangle Development Corp","1001 G Street NW","C T CORPORATION SYSTEM UNK",1000,2004-04-12,"Brazil 2004 Committee","7","38.89871156","-77.02648543"
"Square 516 LLC","1001 G Street NW","C T CORPORATION SYSTEM UNK",1000,2004-04-12,"Brazil 2004 Committee","Citywide","38.89871156","-77.02648543"
"National Place Lease Co. LLC.","1001 G Street NW","C T CORPORATION SYSTEM UNK",1000,2004-04-12,"Brazil 2004 Committee","Citywide","38.89871156","-77.02648543"
"QuikPark, Inc.","1001 G Street NW","C T CORPORATION SYSTEM UNK",1000,2004-04-12,"Brazil 2004 Committee","Citywide","38.89871156","-77.02648543"
"QC 369 LLC","1001 G Street NW","C T CORPORATION SYSTEM UNK",500,2012-01-03,"Re-Elect Yvette Alexander 2012","Citywide","38.89871156","-77.02648543"
"Quadrangle Development Corp","1001 G Street NW","C T CORPORATION SYSTEM UNK",500,2012-01-03,"Re-Elect Yvette Alexander 2012","Citywide","38.89871156","-77.02648543"
"National Place Lease Co. LLC","1001 G Street NW No. 700w","C T CORPORATION SYSTEM UNK",500,2003-07-28,"Evans 2004","Citywide","38.89871156","-77.02648543"
"Quadrangle Development Corp","1001 G Street NW No. 700w","C T CORPORATION SYSTEM UNK",500,2003-07-28,"Evans 2004","Citywide","38.89871156","-77.02648543"
"RGA, Inc.","1001 G Street NW No. 700w","C T CORPORATION SYSTEM UNK",500,2003-07-28,"Evans 2004","Citywide","38.89871156","-77.02648543"
"HQ Hotel, LLC","1001 G Street NW No. 700w",,1500,2010-04-20,"Kwame for Chair","4","38.89871156","-77.02648543"
"1000 H Street, LLC","1001 G Street NW No. 700w","C T CORPORATION SYSTEM UNK",1500,2010-04-20,"Kwame for Chair","Citywide","38.89871156","-77.02648543"
"Northern Virginia Construction Consulting LLC","1001 Pennsylvania Avenue NW No. 600",,500,2008-03-21,"Committee to Re-Elect Yvette Alexander","Citywide","38.89504695","-77.02650516"
"Chapman Management LLC","1001 Pennsylvania Avenue NW No. 600",,500,2008-03-21,"Committee to Re-Elect Yvette Alexander","2","38.89504695","-77.02650516"
"2300 Pennsylvania Ave LLC","1001 Pennsylvania Avenue NW No. 600","CORPORATION SERVICE COMPANY",500,2008-03-21,"Committee to Re-Elect Yvette Alexander","Citywide","38.89504695","-77.02650516"
"Northern Virginia Construction Consulting LLC","1001 Pennsylvania Avenue NW No. 600s","CORPORATION SERVICE COMPANY",2000,2010-02-11,"Fenty 2010","Citywide","38.89504695","-77.02650516"
"Chapman Management, LLC","1001 Pennsylvania Avenue NW No. 600s",,2000,2010-02-11,"Fenty 2010","7","38.89504695","-77.02650516"
"Chapman Management, LLC","1001 Pennsylvania Avenue NW No. 600s",,500,2010-01-27,"Reelect Jim Graham 2010","7","38.89504695","-77.02650516"
"Northern Virginia Construction Consulting LLC","1001 Pennsylvania Avenue NW No. 600s","CORPORATION SERVICE COMPANY",500,2010-01-27,"Reelect Jim Graham 2010","4","38.89504695","-77.02650516"
"Chapman Development, LLC","1001 Pennsylvania Avenue NW No. 600s","CORPORATION SERVICE COMPANY",500,2010-01-27,"Reelect Jim Graham 2010","7","38.89504695","-77.02650516"
"Autopark, Inc.","1010 Vermont Avenue NW No. 810","DAVID W. WILMOT",500,2011-06-10,"Bowser 2012","Citywide","38.90307538","-77.03381734"
"Home Rule Development Corporation","1010 Vermont Avenue NW No. 810","DAVID W. WILMOT",500,2011-06-10,"Bowser 2012","Citywide","38.90307538","-77.03381734"
"Autopark, Inc.","1010 Vermont Avenue NW No. 810","DAVID W. WILMOT",500,2000-06-08,"Committee to Re-Elect Jack Evans","1","38.90307538","-77.03381734"
"Harmon & Wilmot","1010 Vermont Avenue NW No. 810",,500,2000-06-08,"Committee to Re-Elect Jack Evans","5","38.90307538","-77.03381734"
"Home Rule Development Corporation","1010 Vermont Avenue NW No. 810","DAVID W. WILMOT",500,2010-07-26,"Reelect Jim Graham 2010","8","38.90307538","-77.03381734"
"David W. Wilmot & Associates, Inc.","1010 Vermont Avenue NW No. 810","DAVID W. WILMOT",500,2010-07-26,"Reelect Jim Graham 2010","Citywide","38.90307538","-77.03381734"
"Caribbean-American PAC","1015 18th Street NW No. 200",,500,2011-11-30,"Bowser 2012","7","38.90315025","-77.04134758"
"GKA PC","1015 18th Street NW No. 200",,500,2011-11-30,"Bowser 2012","4","38.90315025","-77.04134758"
"L.A. Howard Construction Company, Inc.","1016 5th Street NE",,500,2008-08-22,"Barry for Ward 8","Citywide","38.90309361","-76.99977139"
"L A Howard Construction Company, Inc.","1016 5th Street NE",,500,2008-08-22,"Barry for Ward 8","8","38.90309361","-76.99977139"
"Bogdan Builders, Inc.","10213 Riverwood Dr",,500,2002-06-07,"Re-Elect Jim Graham","Citywide","39.0242427512196","-77.2283688420092"
"Bogdan Builders, Inc.","10213 Riverwood Dr",,500,2002-06-07,"Re-Elect Jim Graham","6","39.0242427512196","-77.2283688420092"
"Milwaukee Construction, LLC","10225 Holly Hill Pl","SETH PAJCIC",500,2006-06-09,"Re-Elect Jim Graham (2006)","6","39.0233449117033","-77.2051274983515"
"9108 Manassad Drive, Inc.","10225 Holly Hill Pl",,500,2006-06-09,"Re-Elect Jim Graham (2006)","Citywide","39.0233449117033","-77.2051274983515"
"3845-47 Minnesota Avenue, SE, LLC","10225 Holly Hill Pl",,500,2006-06-09,"Re-Elect Jim Graham (2006)","Citywide","39.0233449117033","-77.2051274983515"
"RapidTrans, Inc.","1025 15th Street NW","NICHOLAS G. KARAMBELAS",500,2006-09-05,"Bobb for School Board President","1","38.90354927","-77.03426522"
"Chartered Family Health Center","1025 15th Street NW","FRANCIS S. SMITH",500,2006-09-05,"Bobb for School Board President","2","38.90354927","-77.03426522"
"Chartered Family Health Center","1025 15th Street NW","FRANCIS S. SMITH",1500,2006-08-10,"Gray for Chair","2","38.90354927","-77.03426522"
"RapidTrans, Inc.","1025 15th Street NW","NICHOLAS G. KARAMBELAS",1500,2006-08-10,"Gray for Chair","Citywide","38.90354927","-77.03426522"
"Chartered Family Health Center","1025 15th Street NW","FRANCIS S. SMITH",2000,2006-08-30,"Marie Johns for Mayor","7","38.90354927","-77.03426522"
"RapidTrans, Inc.","1025 15th Street NW","NICHOLAS G. KARAMBELAS",2000,2006-08-30,"Marie Johns for Mayor","5","38.90354927","-77.03426522"
"Chartered Family Health Center","1025 15th Street NW","FRANCIS S. SMITH",1000,2006-12-26,"Mendelson for Council 2006","7","38.90354927","-77.03426522"
"RapidTrans, Inc.","1025 15th Street NW","NICHOLAS G. KARAMBELAS",1000,2006-12-26,"Mendelson for Council 2006","5","38.90354927","-77.03426522"
"RapidTrans, Inc.","1025 15th Street NW","NICHOLAS G. KARAMBELAS",500,2007-01-25,"Muriel Bowser for Ward 4","Citywide","38.90354927","-77.03426522"
"Chartered Family Health Center","1025 15th Street NW","FRANCIS S. SMITH",500,2007-01-25,"Muriel Bowser for Ward 4","8","38.90354927","-77.03426522"
"Details International, Inc.","1025 Connecticut Avenue NW No. 1000","E.C. HARRIS",1000,2010-10-06,"Catania 2010","Citywide","38.90331193","-77.03933671"
"Belle International, Inc.","1025 Connecticut Avenue NW No. 1000","JEANNE  JEANNE CLARKE HARRIS",1000,2010-10-06,"Catania 2010","4","38.90331193","-77.03933671"
"Details International, Inc.","1025 Connecticut Avenue NW No. 1000","E.C. HARRIS",500,2010-09-10,"Reelect Jim Graham 2010","Citywide","38.90331193","-77.03933671"
"Belle International, Inc.","1025 Connecticut Avenue NW No. 1000","JEANNE  JEANNE CLARKE HARRIS",500,2010-09-10,"Reelect Jim Graham 2010","4","38.90331193","-77.03933671"
"Morton A. Bender, Inc.","1025 Connecticut Avenue NW No. 606",,1000,2008-08-08,"Carol Schwartz 2008","5","38.90331193","-77.03933671"
"Dorchester Associates, Inc.","1025 Connecticut Avenue NW No. 606","NELSON  DECKELBAUM",1000,2008-08-08,"Carol Schwartz 2008","5","38.90331193","-77.03933671"
"MAB Development Co., Inc.","1025 Connecticut Avenue NW No. 606",,1000,2008-08-08,"Carol Schwartz 2008","3","38.90331193","-77.03933671"
"MAB Development Co., Inc.","1025 Connecticut Avenue NW No. 606",,2000,2002-10-10,"Carol Schwartz for Mayor Committee","Citywide","38.90331193","-77.03933671"
"Dorchester Associates, Inc.","1025 Connecticut Avenue NW No. 606",,2000,2002-10-10,"Carol Schwartz for Mayor Committee","Citywide","38.90331193","-77.03933671"
